重命名时间: 2026-08-02T19:40:06
匹配方式: 视频关键帧感知哈希(每对20帧采样验证) + 时长一致 + 音频波形相关性(0.997+)
数量: 18 个文件。格式: 有意义标题_宽x高.mp4 (分辨率为被重命名文件自身分辨率)

序号	原文件名	新文件名	分辨率	时长(秒)
1	神待福瑞的抖音 - 抖音 (11).mp4	栗栗安_#单杠女孩 #吊环公主 #中国人会飞  #操场出片  #松弛感日常碎片_1900x3378.mp4	1900x3378	5.2
2	神待福瑞的抖音 - 抖音 (13).mp4	大鳄鱼爸爸的办案札记_《游客安全警示教育宣传片》 #交通规则  #电动车 #闯红灯_1668x1080.mp4	1668x1080	13.5
3	神待福瑞的抖音 - 抖音 (14).mp4	I am in_登高望远，心也跟着开阔⛰️#登山#开阔人生无畏前行 #今日分享_1920x1080.mp4	1920x1080	10.4
4	神待福瑞的抖音 - 抖音 (18).mp4	兔大大_下班一起坐地铁会很好玩吧 #制服穿搭 #女友风_1900x3378.mp4	1900x3378	14.6
5	神待福瑞的抖音 - 抖音 (6).mp4	管道疏通小师傅_家人们在家上厕所时，真的别把纸巾往马桶里扔哦#马桶疏通器 #马桶疏通一炮通 #马桶堵了怎么办_2160x3840.mp4	2160x3840	138.7
6	神待福瑞的抖音 - 抖音 (68).mp4	一帆灬_看着你的笑，我想就足够。 #歌曲碎碎念 #一帆蹄蹄儿 #藤短短编舞   #抖音潮流舞蹈大赛_2160x3840.mp4	2160x3840	15.0
7	神待福瑞的抖音 - 抖音 (69).mp4	隔壁王哥_#黑色长筒靴_1080x1920.mp4	1080x1920	15.5
8	神待福瑞的抖音 - 抖音 (7).mp4	星野兔_12cm对我来说太高了！#热门 #御姐 #细高跟 #黑色系_1080x1920.mp4	1080x1920	15.4
9	神待福瑞的抖音 - 抖音 (71).mp4	The lsland_带娃下楼溜圈_720x1280.mp4	720x1280	15.1
10	神待福瑞的抖音 - 抖音 (74).mp4	Kun_kun🚀_#jk制服日常 #日系校服 #jk校服 #车站jk #日系_1080x1440.mp4	1080x1440	22.0
11	神待福瑞的抖音 - 抖音 (77).mp4	whxfrlbb_只对你坏 这难道不算特别吗_2160x3840.mp4	2160x3840	11.2
12	神待福瑞的抖音 - 抖音 (79).mp4	天菜小猫ovo（求关注）_得劲！#我真的特别爱你_1920x1080.mp4	1920x1080	12.0
13	神待福瑞的抖音 - 抖音 (80).mp4	废废_为何人人都会骑 就本宫不会_1440x2560.mp4	1440x2560	12.2
14	神待福瑞的抖音 - 抖音 (84).mp4	Lii_qqqq+_#重庆必去景点推荐 #重庆_1080x1920.mp4	1080x1920	18.8
15	神待福瑞的抖音 - 抖音 (87).mp4	7u_我们如此不同又如此契合#夜间骑行打卡 #西湖#夏天的风 #好朋友 @小丸_2160x3840.mp4	2160x3840	10.6
16	神待福瑞的抖音 - 抖音 (88).mp4	妮妮不摆烂_强者从不抱怨环境，只是一味出片 #胶片 #北海道 #婚纱照 #日本旅拍 #尼鹿摄影_720x1280.mp4	720x1280	14.3
17	神待福瑞的抖音 - 抖音 (89).mp4	橘小眠眠_上班穿搭💼 #制服鞋 #jk皮鞋 #jk制服鞋_1440x1920.mp4	1440x1920	13.7
18	神待福瑞的抖音 - 抖音 (91).mp4	千玥_今天大家怎么都不在呢？#校供#日制校供#jk制服#校供感 #校园青春_2160x3840.mp4	2160x3840	11.1

========================================
第二批重命名时间: 2026-08-02T21:17:27
匹配方式: 视频 8 帧均匀采样感知哈希(全部 8/8 帧一致, 最小距离 0-1) + 时长一致(±0.1s)
数量: 38 个文件

序号	原文件名	新文件名	分辨率	时长(秒)
1	神待福瑞的抖音 - 抖音 (100).mp4	一帆灬_和你❤️ #余佳运  #一帆编舞 #一帆蹄蹄儿 #抖音潮流舞蹈大赛_2160x3840.mp4	2160x3840	27.5
2	神待福瑞的抖音 - 抖音 (11).mp4	蟹蟹谢天霸_来了#猎空舞_1080x1920.mp4	1080x1920	16.9
3	神待福瑞的抖音 - 抖音 (13).mp4	蟹蟹谢天霸_这期请了伴舞增进了一下舞步，希望喜欢😘#WhataDay#蔡徐坤#jumpstyle_1920x1080.mp4	1920x1080	17.6
4	神待福瑞的抖音 - 抖音 (14).mp4	蟹蟹谢天霸_好难跳出那个感觉😭#Whataday  #蔡徐坤 #jumpstyle#抖音潮流舞蹈大赛_1920x1080.mp4	1920x1080	6.7
5	神待福瑞的抖音 - 抖音 (18).mp4	蟹蟹谢天霸_再来一次！没人能跟姐姐比🥰姐姐才是硬道理😚姐姐还会给我转米让我好好爱自己😜姐姐胖了也好看😝姐_1080x1920.mp4	1080x1920	22.9
6	神待福瑞的抖音 - 抖音 (6).mp4	蟹蟹谢天霸_#猎空舞_1080x1920.mp4	1080x1920	16.8
7	神待福瑞的抖音 - 抖音 (68).mp4	一帆灬_把深爱藏进时光❤️ #满满地爱你 #一帆编舞 #一帆蹄蹄儿 #抖音潮流舞蹈大赛_2160x3840.mp4	2160x3840	26.8
8	神待福瑞的抖音 - 抖音 (69).mp4	一帆灬_“麦恩莉=my only” #麦恩莉 #方大同 #一帆编舞 #一帆蹄蹄儿 #抖音潮流舞蹈大赛_1440x2560.mp4	1440x2560	17.3
9	神待福瑞的抖音 - 抖音 (7).mp4	蟹蟹谢天霸_嘻嘻#猎空舞_1080x1920.mp4	1080x1920	17.1
10	神待福瑞的抖音 - 抖音 (71).mp4	一帆灬_我爱上一个女孩，他性格有点古怪 #一帆编舞 #一帆蹄蹄儿 #我爱上一个女孩 #抖音潮流舞蹈大赛_2160x3840.mp4	2160x3840	15.4
11	神待福瑞的抖音 - 抖音 (74).mp4	一帆灬_清醒了 #是非题 #迪丽热巴 #一帆蹄蹄儿 #一帆编舞 #抖音潮流舞蹈大赛_1440x2560.mp4	1440x2560	13.9
12	神待福瑞的抖音 - 抖音 (77).mp4	一帆灬_讨厌爱上了你 #讨厌 #一帆编舞 #一帆蹄蹄儿 #抖音潮流舞蹈大赛_2160x3840.mp4	2160x3840	25.0
13	神待福瑞的抖音 - 抖音 (79).mp4	一帆灬_“海上楼月镜中花” #一帆编舞 #一帆蹄蹄儿 #Socalmdown #抖音潮流舞蹈大赛 #海市蜃楼_2160x3840.mp4	2160x3840	12.6
14	神待福瑞的抖音 - 抖音 (80).mp4	一帆灬_希望下次跳这支舞是在维多利亚港💃 #一帆编舞 #一帆蹄蹄儿  #抖音潮流舞蹈大赛 #维多利亚港_2160x3840.mp4	2160x3840	9.3
15	神待福瑞的抖音 - 抖音 (84).mp4	一帆灬_新场景🔓 #乐道一起加电舞 #乐道汽车 #乐道夏天 #一帆蹄蹄儿_3840x2160.mp4	3840x2160	45.1
16	神待福瑞的抖音 - 抖音 (87).mp4	一帆灬_我在月光下许过情真 #黄龄版香烟与吻痕 #一帆蹄蹄儿 #抖音潮流舞蹈大赛_2160x3840.mp4	2160x3840	16.6
17	神待福瑞的抖音 - 抖音 (88).mp4	一帆灬_夏日优雅💃 #noidealatin#一帆蹄蹄儿 #抖音潮流舞蹈大赛 #优雅永不过时_2160x3840.mp4	2160x3840	11.8
18	神待福瑞的抖音 - 抖音 (89).mp4	一帆灬_Nice body #nicebody双人舞#一帆蹄蹄儿 #抖音潮流舞蹈大赛_2160x3840.mp4	2160x3840	23.3
19	神待福瑞的抖音 - 抖音 (91).mp4	一帆灬_被你捕获 #toxic  #一帆编舞 #一帆蹄蹄儿 #抖音潮流舞蹈大赛_2160x3840.mp4	2160x3840	16.1
20	神待福瑞的抖音 - 抖音 (92).mp4	一帆灬_最深的浪漫是发觉我爱你这件事，比心跳清晰，比海更深 #藤短短编舞 #一帆蹄蹄儿#万妮达 #潜到海底说_2160x3840.mp4	2160x3840	23.5
